County,Year,Date,Time_CST,Rating,Length,Width,Start Lat,Start Long,End Lat,End Long
Fannin,1880,5/28/1880,22:15:00,4,-999,-999,-999,-999,-999,-999
Hunt,1883,6/2/1883,19:15:00,2,-999,-999,-999,-999,-999,-999
Bell,1883,4/27/1883,15:45:00,4,-999,-999,-999,-999,-999,-999
Grayson,1885,4/21/1885,17:35:00,2,-999,-999,-999,-999,-999,-999
Hill,1885,4/22/1885,10:00:00,2,-999,-999,-999,-999,-999,-999
Limestone,1885,4/22/1885,15:00:00,2,-999,-999,-999,-999,-999,-999
Bell,1886,4/25/1886,18:00:00,2,-999,-999,-999,-999,-999,-999
Lamar,1888,5/23/1888,15:00:00,2,-999,-999,-999,-999,-999,-999
Hamilton,1889,3/31/1889,14:30:00,1,-999,-999,-999,-999,-999,-999
Montague,1889,5/17/1889,16:00:00,2,-999,-999,-999,-999,-999,-999
Hamilton,1890,5/4/1890,16:30:00,4,-999,-999,-999,-999,-999,-999
Hood,1890,5/4/1890,16:30:00,3,-999,-999,-999,-999,-999,-999
Johnson,1890,5/4/1890,16:30:00,3,-999,-999,-999,-999,-999,-999
Bell,1892,5/31/1892,17:30:00,4,-999,-999,-999,-999,-999,-999
Falls,1892,5/31/1892,17:30:00,4,-999,-999,-999,-999,-999,-999
Eastland,1893,4/28/1893,21:30:00,4,-999,-999,-999,-999,-999,-999
Montague,1893,4/25/1893,19:45:00,4,-999,-999,-999,-999,-999,-999
Cooke,1893,4/25/1893,19:45:00,4,-999,-999,-999,-999,-999,-999
Cooke,1893,5/6/1893,16:00:00,2,-999,-999,-999,-999,-999,-999
Dallas,1894,1/20/1894,1:45:00,2,-999,-999,-999,-999,-999,-999
Rains,1894,3/17/1894,19:20:00 PM,4,-999,-999,-999,-999,-999,-999
Hunt,1894,3/17/1894,20:00:00 PM,2,-999,-999,-999,-999,-999,-999
Denton,1896,5/15/1896,14:15:00,3,-999,-999,-999,-999,-999,-999
Grayson,1896,10/28/1896,17:40:00,2,-999,-999,-999,-999,-999,-999
Grayson,1896,5/15/1896,16:30:00,5,-999,-999,-999,-999,-999,-999
Denton,1896,5/15/1896,16:30:00,5,-999,-999,-999,-999,-999,-999
McLennan,1896,11/25/1896,15:45:00,3,-999,-999,-999,-999,-999,-999
Cooke,1896,5/15/1896,14:45:00,2,-999,-999,-999,-999,-999,-999
Denton,1896,5/15/1896,14:45:00,2,-999,-999,-999,-999,-999,-999
Hunt,1901,2/3/1901,19:30:00,3,-999,-999,-999,-999,-999,-999
Delta,1901,2/3/1901,19:30:00,3,-999,-999,-999,-999,-999,-999
Rains,1901,3/9/1901,12:00:00,3,-999,-999,-999,-999,-999,-999
Van Zandt,1901,3/9/1901,12:00:00,3,-999,-999,-999,-999,-999,-999
Somervell,1902,4/28/1902,18:00:00,3,-999,-999,-999,-999,-999,-999
Limestone,1902,5/18/1902,15:00:00,2,-999,-999,-999,-999,-999,-999
Freesone,1902,5/18/1902,15:00:00,2,-999,-999,-999,-999,-999,-999
Mills,1904,5/5/1904,21:00:00,3,-999,-999,-999,-999,-999,-999
Freestone,1904,4/24/1904,16:30:00,2,-999,-999,-999,-999,-999,-999
Limestone,1904,4/24/1904,16:30:00,2,-999,-999,-999,-999,-999,-999
Freesone,1904,4/7/1904,16:30:00,2,-999,-999,-999,-999,-999,-999
Hunt,1904,3/17/1904,4:00:00,3,-999,-999,-999,-999,-999,-999
Denton,1904,3/19/1904,16:00:00,1,-999,-999,-999,-999,-999,-999
Limestone,1904,4/7/1904,16:30:00,2,-999,-999,-999,-999,-999,-999
Hopkins,1904,4/12/1904,99:30:00,4,-999,-999,-999,-999,-999,-999
Montague,1905,7/5/1905,15:00:00,4,-999,-999,-999,-999,-999,-999
Fannin,1906,5/2/1906,18:50:00,4,-999,-999,-999,-999,-999,-999
Collin,1906,5/2/1906,18:50:00,4,-999,-999,-999,-999,-999,-999
Montague,1906,4/26/1906,18:15:00,4,-999,-999,-999,-999,-999,-999
Fannin,1906,5/12/1906,16:45:00,4,-999,-999,-999,-999,-999,-999
Ellis,1906,5/24/1906,20:40:00,3,-999,-999,-999,-999,-999,-999
Van Zandt,1907,5/25/1907,18:20:00,4,-999,-999,-999,-999,-999,-999
Rains,1907,5/25/1907,18:45:00,3,-999,-999,-999,-999,-999,-999
Collin,1907,5/6/1907,15:00:00,3,-999,-999,-999,-999,-999,-999
Denton,1907,5/6/1907,15:00:00,3,-999,-999,-999,-999,-999,-999
Hopkins,1907,5/6/1907,13:30:00,4,-999,-999,-999,-999,-999,-999
Cooke,1907,4/27/1907,16:00:00,4,-999,-999,-999,-999,-999,-999
Cooke,1907,3/28/1907,20:10:00,2,-999,-999,-999,-999,-999,-999
Lamar,1908,4/23/1908,18:00:00,4,-999,-999,-999,-999,-999,-999
Navarro,1908,4/23/1908,18:30:00,3,-999,-999,-999,-999,-999,-999
Coryell,1909,4/21/1909,21:30:00,2,-999,-999,-999,-999,-999,-999
Jack,1909,3/23/1909,21:50:00,2,-999,-999,-999,-999,-999,-999
Wise,1909,3/23/1909,21:50:00,2,-999,-999,-999,-999,-999,-999
Denton,1909,3/23/1909,22:15:00,2,-999,-999,-999,-999,-999,-999
Collin,1912,4/20/1912,17:30:00,3,-999,-999,-999,-999,-999,-999
Wise,1912,4/20/1912,18:00:00,4,-999,-999,-999,-999,-999,-999
Denton,1912,4/20/1912,21:00:00,4,-999,-999,-999,-999,-999,-999
Ellis,1914,3/30/1914,14:30:00,2,-999,-999,-999,-999,-999,-999
Dallas,1914,3/30/1914,14:30:00,2,-999,-999,-999,-999,-999,-999
Grayson,1916,5/20/1916,21:30:00,4,-999,-999,-999,-999,-999,-999
Kaufman,1917,5/21/1917,7:00:00,2,-999,-999,-999,-999,-999,-999
Jack,1918,4/14/1918,17:50:00,3,-999,-999,-999,-999,-999,-999
Young,1918,4/14/1918,18:30:00,2,-999,-999,-999,-999,-999,-999
Denton,1918,4/14/1918,20:00:00,3,-999,-999,-999,-999,-999,-999
Wise,1918,4/14/1918,19:00:00,3,-999,-999,-999,-999,-999,-999
Tarrant,1918,4/14/1918,20:00:00,3,-999,-999,-999,-999,-999,-999
Young,1918,4/14/1918,17:30:00,3,-999,-999,-999,-999,-999,-999
Fannin,1919,4/9/1919,0:45:00,4,-999,-999,-999,-999,-999,-999
Henderson,1919,4/9/1919,3:30:00,4,-999,-999,-999,-999,-999,-999
Van Zandt,1919,4/9/1919,3:30:00,4,-999,-999,-999,-999,-999,-999
Lamar,1919,10/8/1919,20:15:00,3,-999,-999,-999,-999,-999,-999
Grayson,1919,4/9/1919,0:45:00,4,-999,-999,-999,-999,-999,-999
Collin,1919,4/8/1919,23:45:00,4,-999,-999,-999,-999,-999,-999
Grayson,1919,4/9/1919,0:30:00,2,-999,-999,-999,-999,-999,-999
Dallas,1920,5/4/1920,23:30:00,1,-999,-999,-999,-999,-999,-999
Lamar,1920,5/11/1920,14:15:00,3,-999,-999,-999,-999,-999,-999
Collin,1921,4/13/1921,14:10:00,4,-999,-999,-999,-999,-999,-999
Lamar,1921,4/13/1921,14:30:00,3,-999,-999,-999,-999,-999,-999
Stephens,1922,4/8/1922,7:45:00,2,-999,-999,-999,-999,-999,-999
Johnson,1922,4/8/1922,10:00:00,2,-999,-999,-999,-999,-999,-999
Eastland,1922,4/8/1922,8:00:00,2,-999,-999,-999,-999,-999,-999
Fannin,1922,4/8/1922,11:30:00,2,-999,-999,-999,-999,-999,-999
Grayson,1922,4/8/1922,11:30:00,2,-999,-999,-999,-999,-999,-999
Eastland,1922,4/8/1922,7:45:00,2,-999,-999,-999,-999,-999,-999
Denton,1924,4/3/1924,16:30:00,2,-999,-999,-999,-999,-999,-999
Dallas,1924,4/3/1924,16:30:00,2,-999,-999,-999,-999,-999,-999
Dallas,1927,5/9/1927,3:10:00,4,-999,-999,-999,-999,-999,-999
Hunt,1927,5/9/1927,3:00:00,4,-999,-999,-999,-999,-999,-999
Collin,1927,5/9/1927,2:25:00,4,-999,-999,-999,-999,-999,-999
Hood,1927,4/17/1927,17:00:00,2,-999,-999,-999,-999,-999,-999
